 mid, username, rpid, gender, content, ctime, likes, rcount
37070196,薇薇安-安塞斯塔-郝,1979910060,保密,回复 @重新开始的菜月昴 :[蛆音娘_吃瓜群众]他们只是好色，想取而代之罢了,2019-09-23 17:46:04,0,0
34307628,重新开始的菜月昴,1979898087,女,所以很不理解骂西片的人,2019-09-23 17:42:52,0,0
135101478,laoweiX,1979874786,男,再来亿季,2019-09-23 17:33:32,1,0
19037324,哎柠檬,1979877456,保密,"看到最后一集，还是落下了眼泪
我活生生把高木和西片的故事唱成了
蒲公英的约定",2019-09-23 17:32:34,1,0
67622819,叫冬哥,1979873085,男,我一个单身狗看这番 好酸啊[芮小凸小凹_哭][芮小凸小凹_哭][芮小凸小凹_哭],2019-09-23 17:30:39,1,0
40288454,炭治郎o,1979872770,保密,看到完结心里咯噔一下，舍不得啊[小电视_哭泣][小电视_哭泣]，有第三季吗,2019-09-23 17:30:06,1,0
359066838,马猴烧酒栉名安娜,1979872606,保密,太甜了[大哭][喜欢],2019-09-23 17:29:48,1,0
22570869,航傲天,1979869776,男,首先感叹高木同学的第二季完结，在动漫的最后一集西平终于A了上去，大家一直所期待的情节终于在最后一集出现了，这对情侣之间的纯洁无瑕的爱意让我们舍不得，但是天下没有不散的筵席，随着高木第二季的完结，西平终于确立了和高木之间的关系，虽然高木同学之间的故事结束了，但是大家的人生还没有走完，大家还有很长的路要走，希望大家在碰上属于自己的高木同学时，不要想着像西平一样期待她会像高木这样对你，女孩子就算是非常喜欢你也会因为你的迟钝而渐渐失去耐心，喜欢就要勇敢的A上去，勇敢点你可以的,2019-09-23 17:29:16,2,0
34406764,我昰阿伟,1979863736,男,完结了，为啥我有种失恋了的感觉[大哭],2019-09-23 17:25:56,2,0
24806544,情感木头人,1979867391,保密,完结了[大哭],2019-09-23 17:25:10,1,0
14218994,小昕King,1979859318,男,西片终于有出息啦！！！！[2233娘_第一][2233娘_第一][2233娘_第一][2233娘_第一],2019-09-23 17:24:10,1,0
34109641,午觉鱼,1979862705,男,啊啊啊啊啊，看我11集的我好想看12集啊[大哭],2019-09-23 17:24:04,1,0
314880879,爱上热评の裘某人,1979859114,男,坐等第三季，我相信一定会有的[微笑],2019-09-23 17:23:50,2,0
107783339,不谈论之掩君,1979858851,保密,胖哥给力啊[2233娘_大笑],2019-09-23 17:23:21,1,0
34653473,吾辈岂是小黄鸭,1979858409,保密,就这么结束了啊，这个夏天,2019-09-23 17:22:34,1,0
1599009,isliang,1979857880,保密,东山老师唱的夏祭~比较有韵味,2019-09-23 17:21:38,1,0
256391342,冰冰游记,1979857718,保密,2019.9.23，种草,2019-09-23 17:21:22,1,0
13162036,Supercoolsjw,1979854923,女,真的结尾泪目！！,2019-09-23 17:20:54,1,0
3402459,Louis_1st,1979857271,保密,这集对应漫画第几集啊？哔哩哔哩漫画里面没找,2019-09-23 17:20:33,1,1
16146543,神秘风声梦丨,1979857548,保密,原创剧情,2019-09-23 17:21:03,0,0
2851555,22与33Bilibili,1979857207,保密,可惜不能投两个币，所以我换了两个号来。。。。一个给终于A上去的西片，一个给好兄弟[小电视_赞],2019-09-23 17:20:27,1,0
196200597,丨Obscure丨,1979860616,保密,撒花吧😄,2019-09-23 17:20:18,1,0
345912702,Sunlinset,1979856071,男,"《擅长捉弄的高木同学》
又名
《为啥日本初中生基本上日式英语课》
《输了游戏，赢了人生》
《擅长调情的西片太太》
《体育老师是怎样练成的》
《上课说话只要是学霸就没问题了》
《暖心男友花光零用钱为女友买冷饮》
《我们仍未知道那天高木同学做的鬼脸》
《家长放学不接孩子与早恋发生的关系》
《总有女同学想和我间接接吻怎么办》
《直男的反射弧究竟有多长》
《永远不可能发生在你身上的事》
《擅长虐狗的西片夫妇》
《别人的学生时代……》
在以下正片你还能看到：
《我的同桌那有这么可爱》
《钝之勇者结婚录》
《在下高木，有何贵干？》
《调情高手》
《在学校寻求邂逅是否搞错了什么》
《一拳西片》
《西片太太的养成方法》
《我不受欢迎怎么想都是高木的错》
《魔王勇者》
《狗粮与西片的正确使用方法》
《re：从零开始的搞对象生活》
《西片的奇妙冒险》
《恋爱循环》
《就算是同桌只要有爱就没问题对吧》
《上课的时候在干什么？认真学习吗？可以捉弄西片吗？》
《为了太太，我连自己都能输掉》
《进击的高木同学》
《普通攻击是穿甲攻击而且刀刀暴击的高木同学你喜欢吗》
《请问今天要来点狗粮吗》
《徒然甜死你》
《青春直男西片不会梦到擅长捉弄的高木同学》
《高木同学想让我告白～单方面被虐的恋爱头脑战》
《恋爱人生 no love no life》
《课上捉弄的同桌不可能真的是老婆》
《如果我会捉弄高木就好了》
《西片白给目录》
《某捉弄的高木同学》
《我的狗粮学院》
《狗纪元》
《某调情的西片太太》
《关于他白给成为白给王的那档事》
《高木的奇妙调情---不灭狗粮》
《蛆的扭动》
《如何在两情相悦中保持单身》
[doge][doge][doge][doge]
虽然复制了这么多[吃瓜] 
但是呢，看完 我相信大多数的人心里都会空落落的的吧 [大哭]",2019-09-23 17:18:26,2,0
2912985,愚思心,1979849251,男,完结撒花，期待下一季,2019-09-23 17:17:51,1,0
318778775,9812慕千殇,1979852464,保密,感谢陪伴三个月,2019-09-23 17:16:22,1,0
5476015,-希衡,1979852411,保密,擅长助攻的木村同学[2233娘_耶],2019-09-23 17:16:17,1,0
147055822,我只想多笑一点,1979846941,保密,完结撒粮[大哭][大哭][大哭][大哭],2019-09-23 17:13:26,1,0
49120947,v一见钟情m,1979842250,男,不过如此🍋,2019-09-23 17:11:18,1,0
11745595,逗比小衰哥,1979845732,保密,等着你第三季,2019-09-23 17:11:05,1,0
34993206,欧木啦酱,1979838315,男,输了比试，赢了夫人。,2019-09-23 17:08:19,1,0
21578240,纷乱腥雨坠红尘,1979829694,保密,木村真是神仙队友[点赞],2019-09-23 17:06:20,1,0
274057702,-我不会唱歌-,1979832685,男,封面这个人怎么好像是我老婆啊！ [滑稽],2019-09-23 17:05:01,2,0
397716280,40142699313_bili,1979828082,保密,其实西片同学，一开始就已经赢了,2019-09-23 17:03:04,1,0
123997291,水土lzl,1979827815,男,胖哥太帅了，那一声大喊差点把我的眼泪都喊出来了，唯一有点遗憾的是我以为高木和西片在坡道上相遇时会抱在一起，但是能牵手也很棒了！跪求第三季！！！,2019-09-23 17:02:33,2,0
404329061,落炎来嘞,1979835320,男,胖哥真兄弟,2019-09-23 17:02:10,1,0
258918659,英特奈尔,1979827525,保密,我不会说爱你 我会让你忍不住动心[2233娘_大哭][2233娘_大哭],2019-09-23 17:01:57,1,0
253416077,天使乄初音末来,1979823483,保密,只要你/妳吹高木 我们就是同父异母的好兄弟[小A和小B_应援][小A和小B_应援],2019-09-23 16:58:35,1,0
